t (s),V (V)
0,5.67765568
0.0002,5.67765568
0.0004,5.67765568
0.0006,5.67765568
0.0008,5.67765568
0.001,5.67765568
0.0012,5.67765568
0.0014,5.68253968
0.0016,5.68253968
0.0018,5.68253968
0.002,5.67277167
0.0022,5.68253968
0.0024,5.68253968
0.0026,5.67765568
0.0028,5.67765568
0.003,5.68253968
0.0032,5.68742369
0.0034,5.68253968
0.0036,5.68742369
0.0038,5.68742369
0.004,5.68253968
0.0042,5.67765568
0.0044,5.68742369
0.0046,5.68742369
0.0048,5.68253968
0.005,5.67765568
0.0052,5.68253968
0.0054,5.68253968
0.0056,5.68253968
0.0058,5.68253968
0.006,5.68742369
0.0062,5.68253968
0.0064,5.67765568
0.0066,5.68253968
0.0068,5.68253968
0.007,5.68253968
0.0072,5.67765568
0.0074,5.68253968
0.0076,5.67765568
0.0078,5.68253968
0.008,5.67277167
0.0082,5.68253968
0.0084,5.68253968
0.0086,5.67765568
0.0088,5.67765568
0.009,5.68742369
0.0092,5.68253968
0.0094,5.68253968
0.0096,5.68253968
0.0098,5.68742369
0.01,5.68253968
0.0102,5.67765568
0.0104,5.68253968
0.0106,5.68742369
0.0108,5.68253968
0.011,5.68253968
0.0112,5.68253968
0.0114,5.68742369
0.0116,5.68253968
0.0118,5.68742369
0.012,5.68742369
0.0122,5.68742369
0.0124,5.68253968
0.0126,5.68253968
0.0128,5.68742369
0.013,5.68253968
0.0132,5.68253968
0.0134,5.68253968
0.0136,5.68742369
0.0138,5.68253968
0.014,5.67765568
0.0142,5.67765568
0.0144,5.67765568
0.0146,5.67765568
0.0148,5.67765568
0.015,5.68253968
0.0152,5.67277167
0.0154,5.67277167
0.0156,5.67765568
0.0158,5.68253968
0.016,5.67765568
0.0162,5.67765568
0.0164,5.67765568
0.0166,5.67765568
0.0168,5.67277167
0.017,5.67765568
0.0172,5.68253968
0.0174,5.67765568
0.0176,5.67277167
0.0178,5.67277167
0.018,5.67765568
0.0182,5.67765568
0.0184,5.67765568
0.0186,5.68253968
0.0188,5.68742369
0.019,5.67765568
0.0192,5.68253968
0.0194,5.68742369
0.0196,5.68253968
0.0198,5.67765568
0.02,5.68253968
0.0202,5.68253968
0.0204,5.67765568
0.0206,5.68253968
0.0208,5.68742369
0.021,5.68742369
0.0212,5.68253968
0.0214,5.67765568
0.0216,5.68253968
0.0218,5.68253968
0.022,5.68253968
0.0222,5.67765568
0.0224,5.68742369
0.0226,5.68742369
0.0228,5.67765568
0.023,5.68253968
0.0232,5.67765568
0.0234,5.68253968
0.0236,5.68253968
0.0238,5.68253968
0.024,5.68253968
0.0242,5.68253968
0.0244,5.68253968
0.0246,5.68253968
0.0248,5.67765568
0.025,5.67277167
0.0252,5.68253968
0.0254,5.68742369
0.0256,5.68742369
0.0258,5.67765568
0.026,5.68742369
0.0262,5.69230769
0.0264,5.68742369
0.0266,5.68253968
0.0268,5.68253968
0.027,5.68253968
0.0272,5.67765568
0.0274,5.68253968
0.0276,5.68742369
0.0278,5.68742369
0.028,5.68253968
0.0282,5.68742369
0.0284,5.68742369
0.0286,5.68253968
0.0288,5.68253968
0.029,5.68742369
0.0292,5.68742369
0.0294,5.68253968
0.0296,5.68253968
0.0298,5.68742369
0.03,5.68253968
0.0302,5.67765568
0.0304,5.68253968
0.0306,5.68253968
0.0308,5.68253968
0.031,5.67765568
0.0312,5.67765568
0.0314,5.67765568
0.0316,5.67765568
0.0318,5.67765568
0.032,5.67765568
0.0322,5.68253968
0.0324,5.67277167
0.0326,5.67277167
0.0328,5.67765568
0.033,5.67765568
0.0332,5.66788767
0.0334,5.67765568
0.0336,5.67765568
0.0338,5.67765568
0.034,5.68742369
0.0342,5.68253968
0.0344,5.68253968
0.0346,5.67765568
0.0348,5.68253968
0.035,5.67765568
0.0352,5.67765568
0.0354,5.67765568
0.0356,5.68253968
0.0358,5.68253968
0.036,5.68253968
0.0362,5.67765568
0.0364,5.68253968
0.0366,5.68742369
0.0368,5.68253968
0.037,5.68253968
0.0372,5.68253968
0.0374,5.68742369
0.0376,5.67765568
0.0378,5.68253968
0.038,5.68742369
0.0382,5.68253968
0.0384,5.67765568
0.0386,5.68253968
0.0388,5.68742369
0.039,5.68253968
0.0392,5.68253968
0.0394,5.68253968
0.0396,5.68253968
0.0398,5.68253968
0.04,5.67765568
0.0402,5.67765568
0.0404,5.67765568
0.0406,5.67765568
0.0408,5.68253968
0.041,5.68742369
0.0412,5.67765568
0.0414,5.68253968
0.0416,5.67765568
0.0418,5.68742369
0.042,5.67765568
0.0422,5.67765568
0.0424,5.68253968
0.0426,5.67765568
0.0428,5.67765568
0.043,5.68742369
0.0432,5.68742369
0.0434,5.68742369
0.0436,5.68253968
0.0438,5.68742369
0.044,5.68742369
0.0442,5.67765568
0.0444,5.67765568
0.0446,5.68253968
0.0448,5.68253968
0.045,5.68742369
0.0452,5.68253968
0.0454,5.69230769
0.0456,5.68253968
0.0458,5.68253968
0.046,5.67765568
0.0462,5.68253968
0.0464,5.68253968
0.0466,5.67765568
0.0468,5.67765568
0.047,5.68253968
0.0472,5.68253968
0.0474,5.68253968
0.0476,5.68742369
0.0478,5.67765568
0.048,5.67765568
0.0482,5.67765568
0.0484,5.67277167
0.0486,5.67765568
0.0488,5.66788767
0.049,5.67765568
0.0492,5.68253968
0.0494,5.67765568
0.0496,5.67277167
0.0498,5.67765568
0.05,5.68253968
0.0502,5.67277167
0.0504,5.68253968
0.0506,5.67765568
0.0508,5.68253968
0.051,5.67277167
0.0512,5.67765568
0.0514,5.68253968
0.0516,5.67765568
0.0518,5.67765568
0.052,5.68253968
0.0522,5.68742369
0.0524,5.68253968
0.0526,5.68253968
0.0528,5.68253968
0.053,5.68253968
0.0532,5.68253968
0.0534,5.67765568
0.0536,5.67765568
0.0538,5.67765568
0.054,5.67765568
0.0542,5.68253968
0.0544,5.68742369
0.0546,5.67277167
0.0548,5.67765568
0.055,5.67765568
0.0552,5.67765568
0.0554,5.67765568
0.0556,5.67765568
0.0558,5.68742369
0.056,5.68253968
0.0562,5.68253968
0.0564,5.68742369
0.0566,5.68742369
0.0568,5.68742369
0.057,5.68253968
0.0572,5.67765568
0.0574,5.67765568
0.0576,5.67765568
0.0578,5.67765568
0.058,5.68253968
0.0582,5.68253968
0.0584,5.68742369
0.0586,5.68253968
0.0588,5.68742369
0.059,5.68742369
0.0592,5.68253968
0.0594,5.68253968
0.0596,5.68742369
0.0598,5.68253968
0.06,5.67765568
0.0602,5.68253968
0.0604,5.68742369
0.0606,5.68742369
0.0608,5.68742369
0.061,5.68253968
0.0612,5.68253968
0.0614,5.67765568
0.0616,5.68253968
0.0618,5.68742369
0.062,5.67765568
0.0622,5.67765568
0.0624,5.68253968
0.0626,5.68253968
0.0628,5.68253968
0.063,5.68253968
0.0632,5.68253968
0.0634,5.68742369
0.0636,5.67765568
0.0638,5.67765568
0.064,5.68253968
0.0642,5.67765568
0.0644,5.67765568
0.0646,5.67765568
0.0648,5.67765568
0.065,5.67277167
0.0652,5.67277167
0.0654,5.68253968
0.0656,5.67765568
0.0658,5.67277167
0.066,5.67765568
0.0662,5.67277167
0.0664,5.67277167
0.0666,5.67277167
0.0668,5.67765568
0.067,5.68742369
0.0672,5.68253968
0.0674,5.67765568
0.0676,5.68253968
0.0678,5.68253968
0.068,5.68253968
0.0682,5.67765568
0.0684,5.67765568
0.0686,5.67765568
0.0688,5.67765568
0.069,5.67765568
0.0692,5.68253968
0.0694,5.67765568
0.0696,5.67765568
0.0698,5.68253968
0.07,5.68742369
0.0702,5.68253968
0.0704,5.68742369
0.0706,5.68742369
0.0708,5.68742369
0.071,5.67765568
0.0712,5.67765568
0.0714,5.68253968
0.0716,5.67765568
0.0718,5.67765568
0.072,5.68253968
0.0722,5.68253968
